tiempo,Xdps,Ydps,Zdps,X,Y,Z
0.003988027572631836,-3.01,-6.72,0.7,-0.0120039629936,-0.0267995452881,0.00279161930084
0.00937509536743164,-2.73,-7.28,0.28,-0.0267106580734,-0.0660173988342,0.00429999828339
0.014675140380859375,-2.87,-6.93,0.35,-0.041921787262,-0.102746710777,0.00615501403809
0.019954919815063477,-3.01,-6.23,0.56,-0.0578139233589,-0.135639736652,0.00911169052124
0.025229930877685547,-2.66,-7.21,0.28,-0.0718454527855,-0.173672566414,0.0105886936188
0.030488014221191406,-2.8,-6.72,0.56,-0.0865680861473,-0.209006886482,0.0135332202911
0.036025047302246094,-2.8,-7.21,0.49,-0.102071778774,-0.248928894997,0.0162463665009
0.04155611991882324,-2.73,-6.86,0.28,-0.117171607018,-0.286872053146,0.0177950668335
0.047599077224731445,-3.01,-7.07,0.49,-0.135360908508,-0.329595761299,0.0207561159134
0.05318903923034668,-3.22,-6.44,0.35,-0.153360586166,-0.365595116615,0.0227126026154
0.058856964111328125,-2.94,-6.72,0.21,-0.170024285316,-0.403683571815,0.0239028668404
0.06444692611694336,-2.66,-6.65,17.64,-0.184893584251,-0.440856819153,0.122509796619
0.07011604309082031,-2.8,-6.79,-17.85,-0.200767111778,-0.479350123405,0.0213160586357
0.07568597793579102,-2.87,-7.14,0.35,-0.216752824783,-0.519119458199,0.0232655358315
0.08124995231628418,-2.87,-6.58,0.35,-0.232721431255,-0.555730409622,0.0252129268646
0.08678913116455078,-3.01,-7.07,0.7,-0.249394359589,-0.594892404079,0.0290903520584
0.09254312515258789,-3.01,-6.86,0.28,-0.266713881493,-0.634364802837,0.0307014703751
0.09808611869812012,-2.94,-6.37,0.42,-0.283010282516,-0.669673671722,0.0330295276642
0.10365796089172363,-2.8,-6.79,0.35,-0.298611440659,-0.707506480217,0.0349796724319
0.10920500755310059,-3.01,-6.37,0.42,-0.315308051109,-0.74284116745,0.0373094320297
0.11475706100463867,-2.8,-6.93,0.63,-0.330853800774,-0.781316897869,0.0408072257042
0.12032508850097656,-3.22,-6.79,0.49,-0.348782849312,-0.819123804569,0.0435355591774
0.12585806846618652,-3.01,-7.07,0.35,-0.365437119007,-0.858241972923,0.0454721021652
0.13139104843139648,-3.15,-6.51,0.35,-0.382866005898,-0.894261672497,0.047408645153
0.13690495491027832,-3.08,-6.44,0.42,-0.399848837852,-0.929771230221,0.0497244858742
0.1423931121826172,-3.08,-6.58,1.05,-0.416752362251,-0.965883305073,0.0554870510101
0.14792108535766602,-3.01,-6.93,0.35,-0.433391561508,-1.00419215918,0.0574218416214
0.1535649299621582,-3.29,-6.3,0.63,-0.451959810257,-1.03974838018,0.0609774637222
0.15910792350769043,-3.08,-7.0,0.28,-0.469032230377,-1.078549335,0.062529501915
0.16468596458435059,-3.15,-6.72,0.35,-0.486603059769,-1.11603377104,0.0644818162918
0.17022991180419922,-2.94,-6.72,0.14,-0.502902264595,-1.15328909636,0.0652579689026
0.17579102516174316,-3.15,-7.21,0.28,-0.520419771671,-1.19338472366,0.0668150806427
0.18132400512695312,-3.15,-7.0,0.7,-0.537848658562,-1.23211558342,0.0706881666183
0.18682193756103516,-3.08,-6.65,0.63,-0.554782290459,-1.26867683411,0.0741518640518
0.1923201084136963,-3.01,-6.79,0.0,-0.571331784725,-1.3060094142,0.0741518640518
0.19783997535705566,-2.94,-7.0,0.35,-0.587560193539,-1.3446484828,0.076083817482
0.2035970687866211,-2.94,-6.51,0.35,-0.604486048222,-1.38212716103,0.0780988001823
0.20914292335510254,-3.01,-6.58,0.35,-0.621179070473,-1.41861888409,0.0800398492813
0.21467804908752441,-3.08,-6.79,0.63,-0.638227257729,-1.45620238781,0.0835269784927
0.22035503387451172,-3.08,-6.58,0.56,-0.655712370872,-1.49355694771,0.0867060899734
0.22589993476867676,-2.94,-6.16,0.77,-0.672014379501,-1.52771353722,0.090975663662
0.2314591407775879,-2.87,-6.23,0.28,-0.687969300747,-1.56234739065,0.0925322413445
0.23696613311767578,-2.87,-6.93,0.49,-0.703774368763,-1.60051084757,0.0952306675911
0.2424769401550293,-3.15,-7.07,0.49,-0.721133410931,-1.63947225332,0.0979309630394
0.24800491333007812,-2.87,-7.14,0.35,-0.736998693943,-1.67894198179,0.0998657536507
0.2536280155181885,-3.08,-6.72,0.35,-0.754317848682,-1.7167292285,0.101833839417
0.25916194915771484,-3.01,-6.72,0.35,-0.770974988937,-1.75391726255,0.10377071619
0.2647209167480469,-2.94,-6.93,0.56,-0.787318353653,-1.79244090796,0.106883738041
0.27051210403442383,-3.01,-7.0,0.56,-0.804749827385,-1.83297921896,0.110126802921
0.27637600898742676,-2.73,-6.79,0.49,-0.820758287907,-1.87279513359,0.113000116348
0.28195691108703613,-2.8,-6.79,0.35,-0.836384813786,-1.91068945885,0.114953432083
0.2875039577484131,-2.94,-6.72,0.35,-0.85269313097,-1.94796561241,0.116894898415
0.2930021286010742,-2.87,-6.72,0.49,-0.868472881317,-1.98491332054,0.119589002132
0.2986729145050049,-2.94,-6.44,0.49,-0.885144991875,-2.02143318176,0.122367687225
0.30423808097839355,-3.01,-6.44,0.77,-0.90189614296,-2.05727285385,0.12665286541
0.309952974319458,-2.94,-7.28,0.63,-0.918697929382,-2.09887727737,0.130253248215
0.3155090808868408,-3.22,-6.51,0.14,-0.936588592529,-2.13504753113,0.131031103134
0.3210620880126953,-2.94,-6.86,0.42,-0.952914433479,-2.17314116001,0.133363366127
0.32660603523254395,-3.08,-6.58,0.28,-0.969989790916,-2.20962033272,0.134915671349
