tiempo,Xdps,Ydps,Zdps,X,Y,Z
0.003987789154052734,-3.15,-6.93,0.35,-0.0125615358353,-0.0276353788376,0.00139572620392
0.009480953216552734,-3.01,-6.93,0.49,-0.0290959596634,-0.0657030057907,0.00408737659454
0.014856815338134766,-3.08,-6.65,0.21,-0.0456536149979,-0.101452488899,0.00521630764008
0.020140886306762695,-3.08,-6.79,0.49,-0.0619285535812,-0.137331330776,0.0078055024147
0.02540898323059082,-3.08,-6.72,0.7,-0.0781542921066,-0.172732942104,0.0114931702614
0.031050920486450195,-2.94,-6.72,0.49,-0.0947415876389,-0.210646760464,0.0142577195168
0.03632783889770508,-2.87,-6.58,0.28,-0.109886343479,-0.24536888361,0.0157352566719
0.04186677932739258,-3.01,-6.58,0.28,-0.126558554173,-0.281815111637,0.0172861599922
0.04749178886413574,-3.01,-6.86,0.14,-0.143489832878,-0.320402677059,0.0180736613274
0.053096771240234375,-2.94,-6.58,0.14,-0.159968481064,-0.357283461094,0.01885835886
0.058679819107055664,-2.94,-6.44,0.56,-0.176382641792,-0.393238289356,0.0219848656654
0.06422686576843262,-3.15,-6.72,0.42,-0.193855838776,-0.430514442921,0.0243146252632
0.07006692886352539,-3.01,-6.65,0.49,-0.211434428692,-0.469350862503,0.0271762561798
0.07562780380249023,-2.94,-7.07,0.42,-0.227783401012,-0.508666248322,0.0295118236542
0.08116698265075684,-2.94,-7.21,0.28,-0.244068586826,-0.548603727818,0.0310627937317
0.08670186996459961,-2.87,-7.28,0.07,-0.259953713417,-0.588897707462,0.0314502358437
0.09222698211669922,-2.94,-7.28,0.28,-0.276197543144,-0.62912052393,0.0329972672462
0.09774184226989746,-2.94,-6.79,0.49,-0.292411231995,-0.66656642437,0.0356995487213
0.10347485542297363,-2.8,-6.65,0.56,-0.308463668823,-0.704690961838,0.038910036087
0.10901784896850586,-3.01,-6.51,0.49,-0.325148079395,-0.740775849819,0.0416261029243
0.11456680297851562,-2.73,-7.21,0.56,-0.340296723843,-0.780783808231,0.04473351717
0.12024998664855957,-2.8,-7.35,0.35,-0.356209638119,-0.822555208206,0.0467226314545
0.1258080005645752,-2.94,-7.0,0.42,-0.372550199032,-0.861461305618,0.0490569972992
0.13143181800842285,-2.94,-6.79,0.0,-0.389084222317,-0.899647026062,0.0490569972992
0.14316487312316895,-2.8,-7.21,0.28,-0.421936776638,-0.984242353439,0.0523422527313
0.15064597129821777,-3.01,-6.86,0.35,-0.444454882145,-1.03556268692,0.0549606370926
0.15944790840148926,-3.01,-6.72,0.35,-0.470948712826,-1.09471170425,0.0580413150787
0.16593098640441895,-2.73,-6.51,0.49,-0.488647515774,-1.13691654205,0.0612180233002
0.17185187339782715,-2.94,-7.0,0.49,-0.506054923534,-1.17836275101,0.0641192579269
0.17821383476257324,-2.94,-6.93,0.21,-0.524759089947,-1.22245114326,0.0654552698135
0.18442678451538086,-2.87,-6.58,0.42,-0.542590255737,-1.26333235264,0.0680647087097
0.19081592559814453,-2.94,-6.79,0.42,-0.561374330521,-1.30671462059,0.0707481479645
0.20489287376403809,-2.87,-6.86,0.07,-0.601775171757,-1.40328248501,0.0717335343361
0.21114492416381836,-2.87,-6.86,0.35,-0.619718556404,-1.44617155075,0.073921751976
0.21742486953735352,-2.94,-6.65,0.14,-0.638181595802,-1.48793318748,0.0748009443283
0.22342300415039062,-2.94,-6.51,0.28,-0.655816111565,-1.52698104382,0.07648042202
0.22934293746948242,-3.01,-6.86,0.49,-0.673635110855,-1.56759178638,0.0793811893463
0.23500299453735352,-2.8,-7.28,0.35,-0.689483270645,-1.60879700184,0.0813622093201
0.24065780639648438,-2.8,-6.72,0.7,-0.705316743851,-1.64679733753,0.0853205776215
0.24614691734313965,-2.87,-7.28,0.56,-0.721070492268,-1.68675806522,0.0883944797516
0.25145697593688965,-2.8,-7.0,0.35,-0.73593865633,-1.72392847538,0.0902530002594
0.2567110061645508,-2.94,-7.07,0.21,-0.751385505199,-1.76107446909,0.0913563466072
0.26204490661621094,-2.8,-7.35,0.35,-0.766320426464,-1.80027863741,0.0932232117653
0.26727986335754395,-2.8,-6.72,0.42,-0.78097830534,-1.83545754671,0.0954218935966
0.2725038528442383,-2.94,-6.72,0.28,-0.796336834431,-1.87056275606,0.0968846106529
0.2777087688446045,-2.87,-6.72,0.49,-0.811274943352,-1.90553979158,0.0994350194931
0.2829098701477051,-2.94,-7.07,0.63,-0.826566181183,-1.9423115778,0.102711713314
0.2881147861480713,-3.08,-7.07,0.49,-0.842597322464,-1.97911033392,0.105262122154
0.29358577728271484,-3.01,-6.58,0.28,-0.859065005779,-2.01510945559,0.106793999672
0.29900383949279785,-2.94,-6.93,0.56,-0.874994108677,-2.0526566267,0.10982811451
0.30432987213134766,-2.94,-6.65,0.63,-0.890652644634,-2.08807474375,0.113183515072
0.30960893630981445,-3.01,-6.58,0.49,-0.906542627811,-2.12281098604,0.115770256519
0.31485891342163086,-3.01,-6.79,0.42,-0.922345058918,-2.15845833063,0.117975246906
0.32010698318481445,-2.87,-7.0,0.35,-0.937407019138,-2.19519481897,0.119812071323
0.3253438472747803,-2.8,-6.72,0.21,-0.95207023859,-2.23038654566,0.120911812782
0.33057188987731934,-3.01,-6.79,0.49,-0.967806646824,-2.26588495493,0.123473553658
0.3358039855957031,-3.08,-6.65,0.56,-0.983921501637,-2.30067839146,0.12640352726
0.3409237861633301,-2.94,-6.58,0.49,-0.998973715305,-2.33436667919,0.128912229538
0.3462808132171631,-2.8,-6.72,0.49,-1.01397339106,-2.37036590099,0.131537172794
