tiempo,Xdps,Ydps,Zdps,X,Y,Z
0.003751993179321289,-1.89,-4.69,16.73,-0.00709126710892,-0.017596848011,0.06277084589
0.009132146835327148,-1.82,-4.41,-1.19,-0.0168831467628,-0.041323325634,0.0563684630394
0.01444101333618164,-2.03,-4.62,-1.33,-0.0276601457596,-0.065850288868,0.0493076705933
0.019776105880737305,-1.68,-4.69,-1.19,-0.0366231012344,-0.0908718729019,0.0429589104652
0.025054931640625,-1.68,-4.06,-1.19,-0.045491528511,-0.112303905487,0.036677107811
0.03034210205078125,-1.75,-3.92,-1.19,-0.0547440767288,-0.133029613495,0.0303853750229
0.035624027252197266,-1.61,-4.9,-0.91,-0.0632479763031,-0.158911046982,0.0255788230896
0.0411829948425293,-1.68,-4.27,-0.98,-0.0725870418549,-0.182647838593,0.0201310348511
0.046730995178222656,-1.75,-4.27,-0.91,-0.0822960424423,-0.206337800026,0.0150823545456
0.05217909812927246,-1.75,-4.13,-0.7,-0.0918302226067,-0.228838465214,0.0112686824799
0.057734012603759766,-1.75,-4.69,-1.12,-0.101551322937,-0.254891014099,0.00504717826843
0.06406116485595703,-1.89,-4.34,-1.05,-0.113509640694,-0.282350854874,-0.00159633159637
0.06963396072387695,-1.68,-4.48,-1.12,-0.122871937752,-0.307316980362,-0.00783786296844
0.07516694068908691,-1.75,-4.48,-1.12,-0.132554652691,-0.332104730606,-0.0140348005295
0.08084702491760254,-1.68,-4.76,-1.05,-0.142097194195,-0.359141931534,-0.0199988889694
0.08642315864562988,-1.68,-4.41,-1.05,-0.151465098858,-0.383732681274,-0.0258538293839
0.09184908866882324,-1.75,-4.55,-1.33,-0.160960476398,-0.40842066288,-0.0330703163147
0.0973050594329834,-1.75,-4.76,-1.19,-0.170508425236,-0.434391083717,-0.039562921524
0.10271406173706055,-1.61,-3.99,-1.05,-0.179216918945,-0.455973002911,-0.0452423739433
0.10814094543457031,-1.75,-3.99,-0.84,-0.188713965416,-0.477626268864,-0.0498009562492
0.11368012428283691,-1.82,-4.27,-1.19,-0.19879527092,-0.501278562546,-0.0563925790787
0.11923003196716309,-1.82,-3.99,-0.98,-0.208896102905,-0.523422694206,-0.0618314886093
0.12485814094543457,-1.75,-4.55,-1.61,-0.218745293617,-0.549030590057,-0.0708927440643
0.13042712211608887,-1.82,-4.41,-1.12,-0.228880839348,-0.57358979702,-0.0771300029755
0.1359419822692871,-1.68,-4.27,-1.05,-0.238145804405,-0.597138249874,-0.0829206061363
0.1413249969482422,-1.68,-4.2,-0.98,-0.247189269066,-0.619746911526,-0.0881959605217
0.1467750072479248,-1.54,-4.41,-1.33,-0.255582284927,-0.643781456947,-0.0954444742203
0.15238499641418457,-1.61,-3.71,-1.05,-0.264614367485,-0.664594516754,-0.101334962845
0.1580650806427002,-1.75,-3.99,-0.91,-0.274554514885,-0.687258052826,-0.106503839493
0.16362309455871582,-1.54,-3.99,-1.4,-0.283113856316,-0.709434528351,-0.114285058975
