tiempo,Xdps,Ydps,Zdps,X,Y,Z
0.004190921783447266,-3.15,-6.65,0.56,-0.0132014036179,-0.0278696298599,0.00234691619873
0.009544849395751953,-2.94,-6.65,0.56,-0.028941950798,-0.0634732484818,0.00534511566162
0.014858007431030273,-2.8,-6.23,0.98,-0.0438187932968,-0.0965742230415,0.0105520105362
0.020108938217163086,-3.01,-6.86,0.7,-0.0596240949631,-0.132595608234,0.0142276620865
0.02577495574951172,-3.22,-6.37,0.7,-0.0778686714172,-0.168688139915,0.0181938743591
0.03132200241088867,-2.87,-6.09,0.84,-0.0937886953354,-0.202469654083,0.0228533935547
0.03690290451049805,-2.52,-6.65,0.21,-0.107852568626,-0.239582653046,0.0240253829956
0.042398929595947266,-2.8,-6.51,0.63,-0.123241438866,-0.275361776352,0.0274878787994
0.04826807975769043,-2.94,-6.16,0.98,-0.140496740341,-0.311515741348,0.0332396459579
0.05382204055786133,-2.87,-6.58,0.35,-0.156436607838,-0.348060803413,0.035183532238
0.05935788154602051,-2.73,-6.65,0.42,-0.171549453735,-0.384874145985,0.037508585453
0.06489396095275879,-2.73,-6.51,0.7,-0.186662950516,-0.420914022923,0.0413838410378
0.07042193412780762,-2.87,-6.37,1.05,-0.202528233528,-0.456127212048,0.0471882128716
0.07608795166015625,-2.87,-6.65,0.56,-0.218789703846,-0.493806228638,0.0503611826897
0.08190202713012695,-2.94,-6.58,0.42,-0.235883085728,-0.53206284523,0.0528030943871
0.08743691444396973,-2.94,-6.09,1.05,-0.25215565443,-0.565770308971,0.0586147260666
0.09297394752502441,-2.8,-6.58,0.49,-0.267659347057,-0.602203986645,0.0613278722763
0.09862494468688965,-2.94,-6.72,0.49,-0.284273278713,-0.640178687572,0.0640968608856
0.10414886474609375,-3.01,-6.72,0.56,-0.300900278091,-0.67729943037,0.0671902561188
0.10968303680419922,-2.8,-6.58,0.98,-0.316395959854,-0.713714282513,0.0726137447357
0.1152808666229248,-2.87,-7.21,0.56,-0.332461731434,-0.754074635506,0.0757485294342
0.12083888053894043,-3.01,-7.14,0.84,-0.349191353321,-0.793758854866,0.0804172611237
0.12642502784729004,-2.87,-6.79,0.7,-0.365223596096,-0.83168879509,0.0843275642395
0.13207006454467773,-2.73,-6.93,0.84,-0.38063454628,-0.870808899403,0.0890693950653
0.13759493827819824,-2.8,-6.86,0.63,-0.396104192734,-0.908709533215,0.0925500655174
0.14308691024780273,-3.01,-6.86,0.35,-0.412635028362,-0.946384460926,0.0944722557068
0.14870595932006836,-3.08,-6.16,0.63,-0.429941699505,-0.980997803211,0.0980122566223
0.15432190895080566,-2.8,-7.14,0.49,-0.445666358471,-1.02109568357,0.100764071941
0.15987706184387207,-3.01,-6.37,0.49,-0.462387368679,-1.0564820075,0.103486096859
0.165557861328125,-3.01,-6.86,0.42,-0.479486575127,-1.09545229197,0.105872032642
0.17108607292175293,-2.8,-7.42,0.28,-0.494965567589,-1.13647162199,0.107419931889
0.17661786079406738,-2.8,-6.93,0.42,-0.510454573631,-1.17480691195,0.109743282795
0.18213701248168945,-2.87,-6.51,0.7,-0.526294538975,-1.21073658943,0.113606688976
0.18765497207641602,-2.66,-6.23,0.63,-0.540972311497,-1.24511347771,0.117083003521
0.19314193725585938,-3.01,-6.37,0.63,-0.557488076687,-1.2800654459,0.120539791584
0.19885802268981934,-2.87,-6.37,0.63,-0.573893241882,-1.31647691011,0.124140925407
0.2044069766998291,-2.8,-6.93,0.35,-0.58943031311,-1.3549311614,0.126083059311
0.20990490913391113,-2.87,-6.23,0.56,-0.605209379196,-1.38918328047,0.129161901474
0.2154989242553711,-2.8,-6.86,0.56,-0.620872621536,-1.4275582242,0.132294549942
0.22108197212219238,-2.73,-6.51,0.7,-0.636114342213,-1.46390386581,0.136202683449
0.22689199447631836,-2.66,-6.65,0.56,-0.651569001675,-1.50254051447,0.139456295967
0.23244285583496094,-2.8,-6.09,0.84,-0.667111413479,-1.53634526014,0.144119019508
0.23796606063842773,-2.73,-6.58,0.77,-0.682189762592,-1.57268794775,0.148371887207
0.2435929775238037,-2.73,-6.23,0.98,-0.697551245689,-1.60774363995,0.153886265755
0.2491450309753418,-2.8,-5.88,0.63,-0.713096995354,-1.64038971424,0.157384059429
0.25463104248046875,-3.15,-6.72,0.7,-0.730377931595,-1.67725571156,0.161224267483
0.2601499557495117,-2.87,-6.65,0.7,-0.746217212677,-1.71395648479,0.165087506771
0.2656879425048828,-2.94,-6.16,0.63,-0.762498893738,-1.74807048321,0.168576438427
0.2712218761444092,-2.8,-6.86,0.77,-0.777993907928,-1.78603326797,0.172837567329
0.2770369052886963,-2.87,-6.37,0.56,-0.794683041573,-1.82307500362,0.17609398365
0.2825798988342285,-2.73,-7.42,0.56,-0.809815413952,-1.86420401573,0.179198060036
0.28812694549560547,-3.08,-6.09,0.42,-0.826900317669,-1.8979855299,0.181527819633
0.29363298416137695,-3.08,-6.93,0.7,-0.843858916759,-1.93614237785,0.1853820467
0.29923486709594727,-2.8,-7.14,0.56,-0.859544188976,-1.97613982201,0.188519101143
0.30495595932006836,-2.8,-6.51,0.63,-0.875563247204,-2.01338413239,0.192123389244
0.31050801277160645,-3.01,-6.72,0.63,-0.892274928093,-2.05069393158,0.195621182919
0.3160369396209717,-3.01,-6.37,0.7,-0.90891699791,-2.08591319561,0.199491431713
0.3216278553009033,-3.01,-6.79,0.56,-0.925745654106,-2.12387551308,0.202622344494
0.3271639347076416,-2.8,-6.16,0.63,-0.941246676445,-2.15797776222,0.20611007452
