X,Y,Z
55,-158,-136
50,-154,-140
16,-131,-162
-22,-113,-170
-62,-93,-166
-72,-89,-161
-80,-87,-159
-170,-69,21
-119,-116,107
-29,-167,126
-20,-176,117
-87,-140,116
-137,-85,101
-171,6,-12
-103,43,-142
-24,32,-189
91,-17,-189
106,-33,-179
145,-69,-144
165,-86,-117
200,-93,5
183,-101,65
97,-96,159
-10,-118,171
-49,-131,150
-86,-166,86
-111,-166,54
-174,-81,3
-181,-43,-16
-175,-20,-58
-166,-27,-82
-120,-51,-144
-58,-23,-188
-26,7,-194
-26,38,-187
-33,46,-184
-14,47,-187
-18,41,-189
-20,14,-195
-44,57,-171
-53,106,-131
-86,141,0
-111,113,61
-128,11,136
-122,-43,150
-75,-134,142
-44,-161,131
-10,-187,106
13,-178,124
24,-164,138
7,-82,193
4,23,194
9,153,72
1,164,-21
-10,65,-176
23,-98,-190
25,-138,-168
-10,-193,-109
-27,-195,-93
-66,-210,-11
-76,-198,40
-56,-116,163
-54,-48,180
-39,65,146
-47,49,153
-35,48,157
-9,63,158
19,42,173
55,19,184
84,15,179
179,-4,122
219,-7,38
224,-12,-1
205,-17,-87
